rider_id,rider_rating,rider_password,prior_cancellations,total_rides_booked,cancelation_rate
U1077,1.47,pass1077,89,98,90.82
U1078,3.82,pass1078,111,337,32.94
U1079,3.93,pass1079,65,184,35.33
U1080,0.52,pass1080,251,347,72.33
U1081,3.44,pass1081,132,462,28.57
U1082,3.28,pass1082,354,362,97.79
U1083,1.99,pass1083,15,65,23.08
U1084,2.04,pass1084,47,75,62.67
U1085,1.8,pass1085,29,38,76.32
U1086,4.07,pass1086,21,84,25.0
U1087,0.95,pass1087,65,68,95.59
U1088,3.09,pass1088,39,142,27.46
U1089,1.02,pass1089,42,80,52.5
U1090,0.9,pass1090,62,79,78.48
U1091,3.13,pass1091,52,181,28.73
U1092,3.13,pass1092,15,56,26.79
U1093,1.03,pass1093,427,472,90.47
U1094,3.76,pass1094,48,108,44.44
U1095,4.56,pass1095,17,97,17.53
U1096,4.72,pass1096,4,26,15.38
U1097,2.97,pass1097,43,117,36.75
U1098,3.48,pass1098,57,217,26.27
U1099,2.87,pass1099,67,307,21.82
U1100,1.78,pass1100,248,485,51.13
U1101,3.29,pass1101,138,452,30.53
U1102,2.94,pass1102,100,427,23.42
U1103,3.62,pass1103,15,80,18.75
U1104,4.08,pass1104,47,284,16.55
U1105,2.39,pass1105,76,380,20.0
U1106,2.68,pass1106,83,371,22.37
U1107,4.35,pass1107,1,56,1.79
U1108,1.03,pass1108,374,477,78.41
U1109,4.64,pass1109,35,185,18.92
U1110,4.01,pass1110,7,64,10.94
U1111,2.52,pass1111,43,168,25.6
U1112,3.35,pass1112,1,489,0.2
U1113,0.95,pass1113,22,32,68.75
U1114,3.42,pass1114,177,474,37.34
U1115,2.83,pass1115,78,234,33.33
U1116,4.96,pass1116,7,268,2.61
U1117,3.25,pass1117,13,52,25.0
U1118,3.63,pass1118,46,217,21.2
U1119,2.91,pass1119,120,456,26.32
U1120,3.04,pass1120,140,367,38.15
U1121,3.45,pass1121,30,128,23.44
U1122,3.41,pass1122,5,41,12.2
U1123,2.17,pass1123,75,343,21.87
U1124,3.83,pass1124,66,217,30.41
U1125,3.35,pass1125,99,178,55.62
U1126,0.87,pass1126,87,195,44.62
U1127,3.14,pass1127,16,45,35.56
U1128,4.32,pass1128,1,16,6.25
U1129,3.25,pass1129,155,409,37.9
U1130,4.98,pass1130,0,2,0.0
U1131,1.27,pass1131,207,377,54.91
U1132,1.07,pass1132,95,113,84.07
U1133,2.72,pass1133,95,303,31.35
U1134,0.84,pass1134,196,344,56.98
U1135,2.08,pass1135,4,12,33.33
U1136,3.4,pass1136,48,297,16.16
U1137,3.61,pass1137,81,92,88.04
U1138,3.5,pass1138,42,281,14.95
U1139,4.06,pass1139,127,362,35.08
U1140,4.02,pass1140,29,226,12.83
U1141,1.77,pass1141,124,371,33.42
U1142,2.07,pass1142,248,259,95.75
U1143,3.17,pass1143,79,278,28.42
U1144,0.3,pass1144,225,375,60.0
U1145,3.28,pass1145,32,160,20.0
U1146,3.74,pass1146,12,141,8.51
U1147,1.7,pass1147,45,76,59.21
U1148,1.75,pass1148,283,347,81.56
U1149,2.8,pass1149,41,206,19.9
U1150,3.99,pass1150,3,179,1.68
U1151,1.24,pass1151,333,470,70.85
U1152,3.39,pass1152,3,13,23.08
U1153,2.95,pass1153,40,199,20.1
U1154,2.37,pass1154,60,259,23.17
U1155,2.47,pass1155,61,264,23.11
U1156,2.25,pass1156,128,191,67.02
U1157,2.78,pass1157,10,38,26.32
U1158,3.05,pass1158,83,301,27.57
U1159,3.74,pass1159,122,421,28.98
U1160,2.09,pass1160,72,266,27.07
U1161,2.22,pass1161,230,297,77.44
U1162,2.2,pass1162,60,98,61.22
U1163,4.38,pass1163,34,375,9.07
U1164,4.26,pass1164,61,489,12.47
U1165,4.15,pass1165,27,305,8.85
U1166,4.13,pass1166,4,486,0.82
U1167,2.42,pass1167,20,88,22.73
U1168,3.23,pass1168,12,49,24.49
U1169,3.54,pass1169,27,127,21.26
U1170,3.79,pass1170,66,456,14.47
U1171,2.44,pass1171,35,138,25.36
U1172,2.5,pass1172,39,182,21.43
U1173,2.46,pass1173,135,184,73.37
U1174,2.99,pass1174,35,208,16.83
U1175,3.18,pass1175,38,125,30.4
U1176,2.23,pass1176,125,428,29.21
U1177,1.89,pass1177,15,53,28.3
U1178,1.83,pass1178,49,130,37.69
U1179,3.11,pass1179,132,242,54.55
U1180,4.38,pass1180,26,114,22.81
U1181,4.73,pass1181,60,157,38.22
U1182,3.53,pass1182,31,254,12.2
U1183,3.2,pass1183,14,198,7.07
U1184,3.86,pass1184,55,420,13.1
U1185,2.37,pass1185,12,35,34.29
U1186,2.57,pass1186,2,10,20.0
U1187,0.39,pass1187,163,331,49.24
U1188,1.16,pass1188,119,140,85.0
U1189,0.74,pass1189,160,172,93.02
U1190,2.16,pass1190,233,409,56.97
U1191,3.09,pass1191,9,200,4.5
U1192,3.08,pass1192,35,132,26.52
U1193,3.51,pass1193,14,193,7.25
U1194,2.65,pass1194,13,54,24.07
U1195,3.63,pass1195,123,311,39.55
U1196,2.64,pass1196,91,253,35.97
U1197,3.58,pass1197,0,35,0.0
U1198,1.01,pass1198,259,289,89.62
U1199,1.05,pass1199,360,428,84.11
U1200,4.69,pass1200,28,327,8.56
U1201,2.31,pass1201,213,378,56.35
U1202,2.65,pass1202,91,264,34.47
U1203,3.42,pass1203,35,332,10.54
U1204,2.98,pass1204,93,267,34.83
U1205,2.96,pass1205,2,7,28.57
U1206,1.87,pass1206,116,389,29.82
U1207,2.21,pass1207,1,5,20.0
U1208,3.35,pass1208,90,237,37.97
U1209,3.26,pass1209,29,91,31.87
U1210,2.66,pass1210,172,447,38.48
U1211,4.53,pass1211,28,237,11.81
U1212,3.0,pass1212,40,147,27.21
U1213,2.42,pass1213,31,131,23.66
U1214,3.93,pass1214,75,434,17.28
U1215,2.0,pass1215,169,401,42.14
U1216,2.77,pass1216,60,158,37.97
U1217,0.2,pass1217,46,50,92.0
U1218,2.6,pass1218,126,360,35.0
U1219,3.55,pass1219,22,84,26.19
U1220,2.6,pass1220,87,500,17.4
U1221,3.25,pass1221,6,148,4.05
U1222,4.11,pass1222,9,40,22.5
U1223,3.32,pass1223,64,292,21.92
U1224,2.88,pass1224,75,316,23.73
U1225,1.29,pass1225,168,242,69.42
U1226,3.47,pass1226,130,367,35.42
U1227,1.07,pass1227,346,450,76.89
U1228,2.45,pass1228,27,70,38.57
U1229,2.87,pass1229,28,142,19.72
U1230,4.66,pass1230,41,473,8.67
U1231,2.29,pass1231,112,457,24.51
U1232,4.02,pass1232,11,371,2.96
U1233,1.19,pass1233,132,268,49.25
U1234,2.3,pass1234,12,36,33.33
U1235,1.56,pass1235,58,62,93.55
U1236,0.76,pass1236,188,351,53.56
U1237,2.47,pass1237,333,475,70.11
U1238,4.32,pass1238,44,371,11.86
U1239,1.98,pass1239,36,47,76.6
U1240,3.23,pass1240,44,190,23.16
U1241,3.3,pass1241,22,85,25.88
U1242,2.15,pass1242,20,95,21.05
U1243,1.0,pass1243,171,423,40.43
U1244,3.28,pass1244,24,432,5.56
U1245,4.4,pass1245,31,324,9.57
U1246,2.15,pass1246,55,164,33.54
U1247,3.03,pass1247,89,240,37.08
U1248,2.35,pass1248,18,80,22.5
U1249,2.84,pass1249,25,77,32.47
U1250,2.85,pass1250,70,313,22.36
U1251,4.37,pass1251,24,209,11.48
U1252,3.4,pass1252,177,457,38.73
U1253,3.75,pass1253,0,10,0.0
U1254,2.34,pass1254,62,261,23.75
U1255,2.26,pass1255,136,438,31.05
U1256,3.79,pass1256,93,312,29.81
U1257,3.47,pass1257,15,429,3.5
U1258,2.25,pass1258,1,3,33.33
U1259,2.53,pass1259,5,90,5.56
U1260,4.87,pass1260,7,118,5.93
U1261,3.98,pass1261,134,351,38.18
U1262,0.23,pass1262,279,392,71.17
U1263,1.8,pass1263,125,208,60.1
U1264,3.33,pass1264,102,291,35.05
U1265,3.65,pass1265,43,147,29.25
U1266,1.02,pass1266,243,446,54.48
U1267,0.6,pass1267,2,3,66.67
U1268,3.9,pass1268,29,291,9.97
U1269,2.28,pass1269,15,43,34.88
U1270,4.93,pass1270,17,229,7.42
U1271,2.77,pass1271,149,444,33.56
U1272,2.31,pass1272,15,41,36.59
U1273,2.8,pass1273,10,45,22.22
U1274,2.21,pass1274,53,167,31.74
U1275,3.64,pass1275,59,448,13.17
U1276,3.44,pass1276,101,432,23.38
U1277,4.68,pass1277,46,287,16.03
U1278,3.6,pass1278,162,420,38.57
U1279,3.12,pass1279,1,5,20.0
U1280,2.3,pass1280,39,82,47.56
U1281,3.24,pass1281,69,284,24.3
U1282,3.77,pass1282,71,212,33.49
U1283,2.65,pass1283,64,239,26.78
U1284,3.47,pass1284,41,110,37.27
U1285,3.29,pass1285,90,302,29.8
U1286,3.41,pass1286,0,3,0.0
U1287,2.96,pass1287,99,269,36.8
U1288,4.08,pass1288,149,462,32.25
U1289,2.17,pass1289,50,136,36.76
U1290,2.95,pass1290,69,191,36.13
U1291,3.43,pass1291,136,377,36.07
U1292,2.79,pass1292,24,114,21.05
U1293,4.6,pass1293,44,389,11.31
U1294,3.25,pass1294,26,89,29.21
U1295,2.72,pass1295,47,181,25.97
U1296,4.04,pass1296,25,200,12.5
U1297,1.62,pass1297,16,26,61.54
U1298,2.88,pass1298,71,163,43.56
U1299,1.32,pass1299,295,388,76.03
U1300,4.29,pass1300,40,416,9.62
U1301,2.79,pass1301,49,209,23.44
U1302,4.33,pass1302,73,451,16.19
U1303,3.41,pass1303,150,444,33.78
U1304,4.12,pass1304,0,20,0.0
U1305,3.0,pass1305,164,330,49.7
U1306,2.54,pass1306,389,500,77.8
U1307,3.65,pass1307,5,123,4.07
U1308,2.11,pass1308,103,305,33.77
U1309,3.15,pass1309,152,413,36.8
U1310,2.67,pass1310,45,294,15.31
U1311,2.49,pass1311,55,141,39.01
U1312,3.73,pass1312,109,493,22.11
U1313,3.91,pass1313,25,78,32.05
U1314,3.02,pass1314,85,331,25.68
U1315,1.21,pass1315,76,134,56.72
U1316,3.71,pass1316,83,363,22.87
U1317,3.85,pass1317,112,299,37.46
U1318,3.16,pass1318,80,253,31.62
U1319,1.69,pass1319,139,393,35.37
U1320,3.04,pass1320,65,292,22.26
U1321,2.73,pass1321,137,406,33.74
U1322,1.24,pass1322,100,473,21.14
U1323,3.55,pass1323,146,425,34.35
U1324,2.87,pass1324,27,69,39.13
U1325,4.49,pass1325,53,381,13.91
U1326,3.33,pass1326,9,312,2.88
U1327,2.13,pass1327,206,475,43.37
U1328,2.81,pass1328,127,455,27.91
U1329,2.43,pass1329,109,455,23.96
U1330,1.44,pass1330,435,479,90.81
U1331,2.8,pass1331,200,409,48.9
U1332,3.86,pass1332,2,36,5.56
U1333,3.29,pass1333,372,476,78.15
U1334,1.51,pass1334,136,279,48.75
U1335,2.69,pass1335,69,227,30.4
U1336,2.59,pass1336,122,414,29.47
U1337,3.32,pass1337,58,272,21.32
U1338,3.17,pass1338,128,487,26.28
U1339,4.04,pass1339,117,309,37.86
U1340,2.73,pass1340,2,8,25.0
U1341,1.14,pass1341,107,168,63.69
U1342,4.35,pass1342,0,0,0.0
U1343,2.94,pass1343,16,115,13.91
U1344,4.18,pass1344,30,289,10.38
U1345,2.15,pass1345,107,320,33.44
U1346,1.63,pass1346,102,114,89.47
U1347,2.18,pass1347,42,169,24.85
U1348,3.59,pass1348,62,466,13.3
U1349,1.11,pass1349,173,353,49.01
U1350,3.25,pass1350,110,376,29.26
U1351,0.78,pass1351,68,133,51.13
U1352,1.08,pass1352,102,201,50.75
U1353,4.81,pass1353,10,110,9.09
U1354,0.75,pass1354,191,402,47.51
U1355,0.21,pass1355,31,74,41.89
U1356,2.74,pass1356,83,406,20.44
U1357,3.23,pass1357,7,246,2.85
U1358,2.62,pass1358,76,263,28.9
U1359,2.19,pass1359,48,162,29.63
U1360,3.27,pass1360,18,49,36.73
U1361,1.81,pass1361,271,307,88.27
U1362,3.19,pass1362,41,414,9.9
U1363,3.46,pass1363,42,152,27.63
U1364,4.92,pass1364,47,445,10.56
U1365,4.13,pass1365,143,486,29.42
U1366,3.2,pass1366,80,251,31.87
U1367,4.02,pass1367,0,72,0.0
U1368,3.67,pass1368,9,139,6.47
U1369,1.7,pass1369,186,410,45.37
U1370,2.65,pass1370,75,222,33.78
U1371,2.22,pass1371,116,314,36.94
U1372,1.37,pass1372,6,11,54.55
U1373,4.81,pass1373,3,244,1.23
U1374,0.53,pass1374,80,187,42.78
U1375,4.3,pass1375,36,213,16.9
U1376,1.92,pass1376,364,367,99.18
U1377,4.51,pass1377,10,95,10.53
U1378,4.35,pass1378,0,7,0.0
U1379,4.13,pass1379,113,288,39.24
U1380,1.88,pass1380,7,15,46.67
U1381,3.17,pass1381,168,420,40.0
U1382,3.3,pass1382,51,138,36.96
U1383,3.65,pass1383,2,160,1.25
U1384,2.6,pass1384,28,87,32.18
U1385,1.35,pass1385,166,389,42.67
U1386,2.9,pass1386,10,480,2.08
U1387,0.94,pass1387,245,409,59.9
U1388,4.55,pass1388,42,392,10.71
U1389,2.42,pass1389,144,476,30.25
U1390,3.02,pass1390,54,233,23.18
U1391,4.35,pass1391,128,454,28.19
U1392,3.48,pass1392,22,476,4.62
U1393,3.99,pass1393,60,301,19.93
U1394,3.08,pass1394,29,128,22.66
U1395,3.02,pass1395,119,149,79.87
U1396,2.24,pass1396,103,333,30.93
U1397,2.7,pass1397,13,118,11.02
U1398,1.99,pass1398,103,437,23.57
U1399,2.74,pass1399,92,319,28.84
U1400,3.4,pass1400,123,317,38.8
U1401,2.94,pass1401,119,316,37.66
U1402,2.33,pass1402,74,227,32.6
U1403,3.92,pass1403,67,171,39.18
U1404,4.25,pass1404,49,341,14.37
U1405,3.49,pass1405,74,325,22.77
U1406,0.44,pass1406,286,379,75.46
U1407,2.04,pass1407,166,254,65.35
U1408,3.12,pass1408,14,121,11.57
U1409,4.08,pass1409,75,453,16.56
U1410,1.73,pass1410,162,340,47.65
U1411,0.84,pass1411,191,379,50.4
U1412,3.32,pass1412,76,211,36.02
U1413,0.43,pass1413,224,225,99.56
U1414,4.21,pass1414,41,429,9.56
U1415,3.58,pass1415,131,484,27.07
U1416,4.77,pass1416,25,105,23.81
U1417,3.83,pass1417,71,397,17.88
U1418,1.08,pass1418,48,103,46.6
U1419,1.52,pass1419,157,347,45.24
U1420,4.81,pass1420,21,149,14.09
U1421,2.13,pass1421,77,250,30.8
U1422,3.41,pass1422,103,274,37.59
U1423,2.95,pass1423,84,222,37.84
U1424,3.55,pass1424,44,138,31.88
U1425,4.65,pass1425,6,317,1.89
U1426,3.58,pass1426,12,266,4.51
U1427,3.42,pass1427,41,174,23.56
U1428,4.29,pass1428,107,466,22.96
U1429,3.07,pass1429,56,144,38.89
U1430,2.86,pass1430,19,93,20.43
U1431,4.91,pass1431,36,146,24.66
U1432,2.64,pass1432,10,42,23.81
U1433,2.95,pass1433,89,484,18.39
U1434,2.84,pass1434,49,125,39.2
U1435,3.24,pass1435,75,439,17.08
U1436,2.83,pass1436,35,138,25.36
U1437,3.4,pass1437,24,100,24.0
U1438,3.28,pass1438,45,174,25.86
U1439,4.14,pass1439,32,378,8.47
U1440,3.53,pass1440,94,431,21.81
U1441,1.45,pass1441,15,18,83.33
U1442,4.89,pass1442,9,50,18.0
U1443,3.31,pass1443,161,436,36.93
U1444,2.6,pass1444,141,428,32.94
U1445,3.4,pass1445,51,133,38.35
U1446,4.06,pass1446,7,236,2.97
U1447,2.52,pass1447,2,30,6.67
U1448,2.68,pass1448,44,124,35.48
U1449,4.18,pass1449,26,140,18.57
U1450,3.71,pass1450,36,344,10.47
U1451,0.92,pass1451,199,307,64.82
U1452,1.69,pass1452,98,158,62.03
U1453,1.1,pass1453,254,307,82.74
U1454,4.71,pass1454,1,306,0.33
U1455,2.19,pass1455,112,295,37.97
U1456,2.26,pass1456,22,67,32.84
U1457,3.45,pass1457,61,239,25.52
U1458,3.96,pass1458,10,118,8.47
U1459,3.88,pass1459,4,17,23.53
U1460,4.01,pass1460,7,241,2.9
U1461,4.49,pass1461,75,428,17.52
U1462,3.05,pass1462,3,74,4.05
U1463,3.34,pass1463,75,210,35.71
U1464,2.66,pass1464,68,386,17.62
U1465,2.92,pass1465,41,123,33.33
U1466,1.38,pass1466,312,430,72.56
U1467,4.86,pass1467,21,241,8.71
U1468,1.47,pass1468,346,352,98.3
U1469,1.09,pass1469,411,480,85.62
U1470,2.7,pass1470,159,489,32.52
U1471,3.32,pass1471,0,83,0.0
U1472,3.73,pass1472,50,194,25.77
U1473,3.39,pass1473,5,45,11.11
U1474,4.4,pass1474,0,448,0.0
U1475,2.98,pass1475,18,52,34.62
U1476,1.74,pass1476,12,22,54.55
U1477,2.55,pass1477,95,399,23.81
U1478,1.46,pass1478,184,268,68.66
U1479,3.64,pass1479,10,72,13.89
U1480,4.22,pass1480,40,118,33.9
U1481,3.44,pass1481,79,353,22.38
U1482,3.29,pass1482,37,263,14.07
U1483,3.14,pass1483,119,406,29.31
U1484,1.41,pass1484,4,7,57.14
U1485,3.34,pass1485,0,0,0.0
U1486,4.08,pass1486,7,105,6.67
U1487,3.78,pass1487,33,129,25.58
U1488,1.54,pass1488,269,274,98.18
U1489,4.01,pass1489,128,471,27.18
U1490,3.15,pass1490,74,200,37.0
U1491,0.3,pass1491,52,108,48.15
U1492,2.17,pass1492,0,1,0.0
U1493,2.97,pass1493,77,214,35.98
U1494,0.88,pass1494,117,262,44.66
U1495,1.77,pass1495,51,78,65.38
U1496,0.48,pass1496,459,486,94.44
U1497,3.71,pass1497,3,17,17.65
U1498,2.26,pass1498,19,86,22.09
U1499,3.74,pass1499,24,97,24.74
U1500,3.27,pass1500,101,305,33.11
U1501,2.74,pass1501,180,462,38.96
U1502,2.63,pass1502,25,186,13.44
U1503,1.74,pass1503,81,358,22.63
U1504,3.6,pass1504,4,13,30.77
U1505,2.91,pass1505,19,54,35.19
U1506,3.06,pass1506,176,202,87.13
U1507,3.93,pass1507,41,197,20.81
U1508,3.1,pass1508,3,15,20.0
U1509,1.77,pass1509,142,321,44.24
U1510,2.79,pass1510,183,487,37.58
U1511,2.56,pass1511,133,364,36.54
U1512,2.55,pass1512,191,313,61.02
U1513,2.55,pass1513,137,366,37.43
U1514,1.66,pass1514,43,92,46.74
U1515,3.48,pass1515,86,421,20.43
U1516,3.78,pass1516,1,15,6.67
U1517,2.4,pass1517,49,143,34.27
U1518,2.76,pass1518,101,303,33.33
U1519,1.03,pass1519,57,104,54.81
U1520,4.57,pass1520,57,492,11.59
U1521,4.22,pass1521,4,38,10.53
U1522,4.13,pass1522,57,311,18.33
U1523,3.83,pass1523,9,116,7.76
U1524,3.44,pass1524,124,420,29.52
U1525,2.4,pass1525,154,163,94.48
U1526,3.93,pass1526,44,435,10.11
U1527,2.71,pass1527,142,349,40.69
U1528,4.28,pass1528,15,478,3.14
U1529,2.82,pass1529,11,34,32.35
U1530,3.6,pass1530,53,176,30.11
U1531,3.53,pass1531,29,102,28.43
U1532,1.74,pass1532,277,427,64.87
U1533,2.55,pass1533,57,498,11.45
U1534,1.44,pass1534,135,327,41.28
U1535,2.19,pass1535,153,240,63.75
U1536,4.14,pass1536,61,391,15.6
U1537,2.9,pass1537,145,461,31.45
U1538,1.26,pass1538,40,101,39.6
U1539,0.26,pass1539,255,495,51.52
U1540,2.68,pass1540,86,428,20.09
U1541,3.33,pass1541,79,235,33.62
U1542,3.64,pass1542,89,331,26.89
U1543,1.36,pass1543,412,450,91.56
U1544,3.18,pass1544,33,449,7.35
U1545,2.16,pass1545,75,294,25.51
U1546,4.5,pass1546,121,473,25.58
U1547,2.94,pass1547,47,123,38.21
U1548,1.98,pass1548,79,92,85.87
U1549,4.97,pass1549,125,461,27.11
U1550,4.11,pass1550,10,83,12.05
U1551,2.75,pass1551,161,447,36.02
U1552,2.85,pass1552,32,92,34.78
U1553,2.83,pass1553,83,344,24.13
U1554,2.88,pass1554,107,358,29.89
U1555,0.83,pass1555,119,275,43.27
U1556,2.64,pass1556,66,186,35.48
U1557,3.29,pass1557,106,411,25.79
U1558,2.61,pass1558,74,173,42.77
U1559,1.43,pass1559,252,415,60.72
U1560,4.74,pass1560,1,58,1.72
U1561,2.85,pass1561,47,213,22.07
U1562,3.25,pass1562,84,216,38.89
U1563,3.3,pass1563,145,496,29.23
U1564,3.21,pass1564,116,401,28.93
U1565,3.51,pass1565,57,155,36.77
U1566,1.67,pass1566,171,484,35.33
U1567,4.3,pass1567,7,350,2.0
U1568,3.19,pass1568,2,8,25.0
U1569,2.91,pass1569,0,44,0.0
U1570,3.24,pass1570,11,29,37.93
U1571,1.71,pass1571,176,248,70.97
U1572,4.56,pass1572,32,488,6.56
U1573,3.25,pass1573,30,103,29.13
U1574,2.19,pass1574,374,495,75.56
U1575,3.45,pass1575,29,220,13.18
U1576,2.28,pass1576,99,224,44.2
U1577,2.8,pass1577,169,485,34.85
U1578,2.72,pass1578,92,314,29.3
U1579,3.5,pass1579,5,21,23.81
U1580,2.59,pass1580,18,75,24.0
U1581,2.67,pass1581,70,295,23.73
U1582,2.5,pass1582,112,332,33.73
U1583,1.1,pass1583,85,200,42.5
U1584,0.87,pass1584,288,358,80.45
U1585,2.18,pass1585,33,164,20.12
U1586,2.72,pass1586,193,214,90.19
U1587,2.83,pass1587,127,498,25.5
U1588,2.6,pass1588,7,37,18.92
U1589,2.77,pass1589,10,33,30.3
U1590,1.0,pass1590,337,419,80.43
U1591,3.55,pass1591,86,300,28.67
U1592,3.11,pass1592,90,370,24.32
U1593,2.8,pass1593,48,186,25.81
U1594,0.14,pass1594,128,132,96.97
U1595,0.73,pass1595,468,497,94.16
U1596,2.07,pass1596,33,103,32.04
U1597,3.74,pass1597,8,342,2.34
U1598,0.4,pass1598,49,70,70.0
U1599,3.85,pass1599,106,423,25.06
U1600,2.3,pass1600,130,369,35.23
U1601,2.66,pass1601,92,267,34.46
U1602,1.81,pass1602,286,487,58.73
U1603,4.36,pass1603,29,94,30.85
U1604,2.99,pass1604,135,453,29.8
U1605,3.4,pass1605,61,329,18.54
U1606,3.09,pass1606,50,166,30.12
U1607,4.18,pass1607,21,123,17.07
U1608,1.11,pass1608,409,461,88.72
U1609,3.2,pass1609,47,184,25.54
U1610,3.55,pass1610,39,153,25.49
U1611,4.93,pass1611,23,203,11.33
U1612,4.04,pass1612,64,268,23.88
U1613,2.09,pass1613,147,455,32.31
U1614,1.61,pass1614,243,378,64.29
U1615,3.16,pass1615,3,18,16.67
U1616,3.37,pass1616,17,60,28.33
U1617,1.98,pass1617,120,287,41.81
U1618,2.07,pass1618,3,9,33.33
U1619,2.43,pass1619,225,482,46.68
U1620,4.37,pass1620,0,138,0.0
U1621,3.42,pass1621,81,447,18.12
U1622,1.14,pass1622,271,452,59.96
U1623,3.29,pass1623,13,123,10.57
U1624,3.33,pass1624,152,360,42.22
U1625,3.27,pass1625,126,476,26.47
U1626,3.0,pass1626,47,163,28.83
U1627,2.78,pass1627,159,472,33.69
U1628,3.96,pass1628,0,5,0.0
U1629,2.52,pass1629,298,394,75.63
U1630,3.3,pass1630,6,152,3.95
U1631,3.7,pass1631,10,84,11.9
U1632,1.1,pass1632,402,433,92.84
U1633,3.01,pass1633,170,461,36.88
U1634,2.17,pass1634,48,144,33.33
U1635,3.15,pass1635,4,17,23.53
U1636,3.26,pass1636,19,71,26.76
U1637,3.17,pass1637,10,49,20.41
U1638,3.75,pass1638,15,50,30.0
U1639,3.42,pass1639,23,218,10.55
U1640,3.22,pass1640,13,44,29.55
U1641,0.22,pass1641,242,252,96.03
U1642,3.62,pass1642,1,19,5.26
U1643,3.33,pass1643,144,380,37.89
U1644,1.01,pass1644,56,110,50.91
U1645,2.43,pass1645,37,146,25.34
U1646,3.34,pass1646,37,102,36.27
U1647,0.84,pass1647,99,211,46.92
U1648,1.99,pass1648,23,95,24.21
U1649,2.08,pass1649,32,34,94.12
U1650,3.73,pass1650,18,102,17.65
U1651,3.02,pass1651,44,478,9.21
U1652,4.12,pass1652,17,64,26.56
U1653,2.67,pass1653,5,15,33.33
U1654,4.99,pass1654,0,10,0.0
U1655,2.18,pass1655,86,252,34.13
U1656,3.19,pass1656,57,306,18.63
U1657,2.93,pass1657,53,200,26.5
U1658,3.21,pass1658,16,102,15.69
U1659,2.79,pass1659,72,270,26.67
U1660,2.83,pass1660,29,96,30.21
U1661,3.16,pass1661,2,426,0.47
